id,curso,seccion,salon,franja
0,ADMI-1101,2018-01-10126,SD_805,0
1,ADMI-1101,2018-01-10126,SD_805,1
2,ADMI-1101,2018-01-10126,SD_805,2
3,ADMI-1101,2018-01-10126,SD_805,3
4,ADMI-1101,2018-01-10126,SD_805,4
5,ADMI-1101,2018-01-10126,SD_805,5
6,ADMI-1101,2018-01-10126,SD_805,6
7,ADMI-1101,2018-01-10126,SD_805,7
8,ADMI-1101,2018-01-10126,SD_805,8
9,ADMI-1102,2018-01-25454,SD_803,9
10,ADMI-1102,2018-01-25454,SD_803,10
11,ADMI-1102,2018-01-25454,SD_803,11
12,ADMI-1102,2018-01-25454,SD_803,12
13,ADMI-1102,2018-01-25454,SD_803,13
14,ADMI-1102,2018-01-11411,O_404,14
15,ADMI-1102,2018-01-11411,O_404,15
16,ADMI-1102,2018-01-11411,O_404,16
17,ADMI-1102,2018-01-11411,O_404,17
18,ADMI-1102,2018-01-11411,O_404,18
19,ADMI-1102,2018-01-11411,O_404,19
20,ADMI-1102,2018-01-11411,O_404,20
21,ADMI-1102,2018-01-11411,O_404,21
22,ADMI-1102,2018-01-25458,LL_304,22
23,ADMI-1102,2018-01-25458,LL_304,23
24,ADMI-1102,2018-01-25458,LL_304,24
25,ADMI-1102,2018-01-25458,LL_304,25
26,ADMI-1102,2018-01-25458,LL_304,26
27,ADMI-1102,2018-01-25458,LL_304,27
28,ADMI-1102,2018-01-25458,LL_304,28
29,ADMI-1102,2018-01-25458,LL_304,29
30,ADMI-1190,2018-01-20646,C_307,30
31,ADMI-1190,2018-01-20646,C_307,31
32,ADMI-1190,2018-01-20646,C_307,32
33,ADMI-1190,2018-01-20646,C_307,33
34,ADMI-1190,2018-01-20646,C_307,34
35,ADMI-1190,2018-01-20646,C_307,35
36,ADMI-1190,2018-01-20646,C_307,36
37,ADMI-1190,2018-01-20646,C_307,37
38,ADMI-1190,2018-01-23025,C_308,38
39,ADMI-1190,2018-01-23025,C_308,39
40,ADMI-1190,2018-01-23025,C_308,40
41,ADMI-1190,2018-01-23025,C_308,41
42,ADMI-1190,2018-01-23025,C_308,42
43,ADMI-1190,2018-01-23025,C_308,43
44,ADMI-1190,2018-01-23025,C_308,44
45,ADMI-1190,2018-01-23025,C_308,45
46,ADMI-1190,2018-01-27847,O_204,46
47,ADMI-1190,2018-01-27847,O_204,47
48,ADMI-1190,2018-01-27847,O_204,48
49,ADMI-1190,2018-01-27847,O_204,49
50,ADMI-1190,2018-01-27847,O_204,50
51,ADMI-1190,2018-01-27847,O_204,51
52,ADMI-1190,2018-01-27847,O_204,52
53,ADMI-1190,2018-01-27847,O_204,53
54,ADMI-1203,2018-01-10131,AU_104,54
55,ADMI-1203,2018-01-10131,AU_104,55
56,ADMI-1203,2018-01-10131,AU_104,56
57,ADMI-1203,2018-01-10131,AU_104,57
58,ADMI-1203,2018-01-10131,AU_104,58
59,ADMI-1203,2018-01-10131,AU_104,59
60,ADMI-1203,2018-01-10131,AU_104,60
61,ADMI-1203,2018-01-10131,AU_104,61
62,ADMI-1203,2018-01-20816,AU_203,62
63,ADMI-1203,2018-01-20816,AU_203,63
64,ADMI-1203,2018-01-20816,AU_203,64
65,ADMI-1203,2018-01-20816,AU_203,65
66,ADMI-1203,2018-01-20816,AU_203,66
67,ADMI-1203,2018-01-20816,AU_203,67
68,ADMI-1203,2018-01-20816,AU_203,68
69,ADMI-1203,2018-01-20816,AU_203,69
70,ADMI-1203,2018-01-12118,AU_102,70
71,ADMI-1203,2018-01-12118,AU_102,71
72,ADMI-1203,2018-01-12118,AU_102,72
73,ADMI-1203,2018-01-12118,AU_102,73
74,ADMI-1203,2018-01-12118,AU_102,74
75,ADMI-1203,2018-01-12118,AU_102,75
76,ADMI-1203,2018-01-12118,AU_102,76
77,ADMI-1203,2018-01-12118,AU_102,77
78,ADMI-1203,2018-01-11123,C_209,78
79,ADMI-1203,2018-01-11123,C_209,79
80,ADMI-1203,2018-01-11123,C_209,80
81,ADMI-1203,2018-01-11123,C_209,81
