materia,nombre,creditos
ADMI-1101,"FUNDAM.ADMON Y GERENCIA (ADMI)",3
ADMI-1102,"FUNDAM.ADMON Y GERENCIA",3
ADMI-1190,"SERVIC. ECOSISTÉMICOS (INGLÉS)",3
ADMI-1203,"PLANEACION FINANCIERA",3
ADMI-1590,"TALLER DE CREATIVIDAD",1
ADMI-1602,"TALLER AUTOCONOCIMIENTO",2
ADMI-1603,"COMPORT. ORGANIZACION.(INGLES)",3
ADMI-2104B,"HISTORIA DESARROLLO EMPRES.COL",3
ADMI-2106,"RESPONSABILIDAD SOCIAL INGLES",3
ADMI-2107,"GERENCIA DE RECURSOS HUMANOS",3
ADMI-2204,"DECISIONES DE INVERSION",3
ADMI-2205,"FINANZAS 3:ESTRATEGIA",3
ADMI-2206,"COMPORTAMIENTO DEL CONSUMIDOR",3
ADMI-2207,"COLOMBIA Y SUS INSTIT.(ADMON)",3
ADMI-2301,"FUNDAMENTOS MERCADEO (INGLÉS)",3
ADMI-2302,"INVESTIGACION DE MERCADOS",3
ADMI-2403,"OPERACIONES Y LOGISTICA",3
ADMI-2501,"ANALISIS ENTORNO COLOMBIANO",3
ADMI-2605,ORGANIZACIONES,3
ADMI-2801,"LA GESTION DE LO PUBLICO",3
ADMI-3107,CONSULTORIA,3
ADMI-3107C,"COMPLEMENTARIA CONSULTORÍA",0
ADMI-3109,"PLANES DE NEGOCIOS",3
ADMI-3110,"EMPRENDI. INNOVACION.(INGLES)",3
ADMI-3122,"JUEGO GERENCIAL",3
ADMI-3122C,"COMPLEMENTARIA JUEGO GERENCIAL",0
ADMI-3128B,"GESTIÓN CULT.:NOCIONES BÁSICAS",3
ADMI-3133B,"GERENCIA AMBIENTAL (INGLES)",3
ADMI-3135B,"CINE MEDIO AMBIENTE Y SOCIEDAD",3
ADMI-3137,"MODELOS DE LIDERAZGO",3
ADMI-3138,"EMPRESAS FAMILIA:CIELO-INFIERN",3
ADMI-3139,"EMPREND LIDERES INNOVADOR GLOB",3
ADMI-3190,"MODELO DE NEGOCIOS SOSTENIBLES",3
ADMI-3200,"OPCION DE GRADO (ESTRATEGIA)",3
ADMI-3205,"FINANZAS PERSONALES",3
ADMI-3210,"MERCADOS DERIVADOS (INGLES)",3
ADMI-3237,"MARKETING COMMUNICATIONS",3
ADMI-3240,"GERENCIA  ACTIVOS FINANCIEROS",3
ADMI-3311,"EMPRENDIMIENTO MERCADEO INTERN",3
ADMI-3341,"BRAND MANAGEMENT",3
ADMI-3405,"SISTEM. INFORMACGER.(INGLES)",3
ADMI-3406,"MARKETING ANALYTICS",3
ADMI-3502,"ESTRATEGIA (INGLÉS)",3
ADMI-3503,"SERVICE MANAGEMENT",3
ADMI-3601,"TALL. HABILIDADES GERENC.",3
ADMI-3606,"ESTRATEGIAS DE NEGOCIACION",3
ADMI-3611,"ALIMENTOS Y OPORTUN.EMPRENDED.",3
ADMI-3701,"NEGOCIOS INTERNACIONALES",3
ADMI-3705,"MERCADOS EMERGENTES",3
ANTR-1001,"TALLER DE INDUCCIÓN",0
ANTR-1101,"FUNDAMENTOS DE ANTROPOLOGIA",3
ANTR-1104,"METODOS CUALITATIVOS DE INVEST",3
ANTR-1105A,"LA CONDICION HUMANA",3
ANTR-1106B,"PENSAMIENTO INDIGENA",3
ANTR-1114A,"VIOLENCIA Y CIVILIZACION",3
ANTR-1118A,"NATURALEZA Y CULTURA",3
ANTR-1124A,"TENER Y PODER",3
ANTR-1125B,"CAMPESINOS Y POLÍTICA",3
ANTR-1134B,"DIVERSIDAD HUMANA",3
ANTR-1135A,"CAPITALISMO: HRIA Y CULTURA",3
ANTR-1201,"FUNDAMENTOS DE ARQUEOLOGIA",3
ANTR-1202B,"AZTECAS, MAYAS E INCAS",3
ANTR-1203A,"DE EVOLUCION CULTURA HUMANA",3
ANTR-1401,"ANTROPOLOGÍA BIOLÓGICA",3
ANTR-2101,"ETNOLOGIA DE COLOMBIA",3
ANTR-2102,"INSTRUMENTOS DE INVESTIGACION",3
ANTR-2103,"ESCUELAS ANTROPOLOGICAS I",3
ANTR-2106,"ETNOHISTORIA AMERICANA",3
ANTR-2116,"PATRIMONIO CULTURAL",3
ANTR-2121,"EMBERA: LENGUAJE Y CULTURA",3
ANTR-2122,"PRODUC DOCUMENTALES ETNOGRAFIC",3
ANTR-2201,"ARQUEOLOGIA COMPARADA",3
ANTR-2301,"METODO DE ANALISIS LINGÜISTICO",3
ANTR-3102,"PENSAM. ANTROPOLOGICO COLOMB.",3
ANTR-3103,"TEORIAS ANTROPOL.CONTEMPOR.",3
ANTR-3171,"SEMINARIO ETNOGRAFIA",3
ANTR-3175,"FLUJOS GLOBAL INTERCAM LOCALES",3
ANTR-3191,"METODOLOGIA DE PRACTICA",3
ANTR-3193,"DISEÑO DE MONOGRAFIA",3
ANTR-4106,"ESCUELAS ANTROPOLOG.1(PR-POST)",4
ANTR-6991,"COLOQUIO DE INVESTIGACIONES",0
ARQU-1225A,"LA HISTORIA DE UNA CASA",3
ARQU-1226A,"HIST PROPORCIONES ARTE Y ARQU",3
ARQU-1229A,"ARQUITEC. CUERPO Y PERCEPCIÓN",3
ARQU-1231B,"GRANDES OBRAS ARQU RENACIMIEN",3
ARQU-1305A,"CIUDAD Y TECNICA",3
ARQU-1306B,"RASCACIELOS CIUDAD VERTICAL",3
ARQU-2201,"ARQUETIPOS EN ARQUITECTURA",3
ARQU-2202,"ARQUITECTURA CLASICA",3
ARQU-2203,"ARQUITECTURA MODERNA",3
ARQU-2310,"SISTEMAS DE SOPORTE",3
ARQU-2320,"SISTEMAS DE HABITABILIDAD",3
ARQU-2330,"SISTEMAS DE CONSTRUCCION Y EST",3
ARQU-2410,"PAISAJE URBANO",3
ARQU-2420,"PROYECTO URBANO",3
ARQU-2430,"TEORIAS URBANAS",3
ARQU-3920,"TEORIA UNIDAD AVANZADA",3
ARQU-4104,INTEGRAC.SISTEM.TENIC.,4
ARTE-1112A,"ARTE Y ANIMALES",3
ARTE-1120B,"PINTURA DESDE 1950",3
ARTE-1209B,"NUEVOS MEDIOS",3
ARTE-1230,"CINE COLOMBIANO",3
ARTE-1405B,"EL ARTISTA Y LA CIUDAD",3
ARTE-1406A,"ARTE Y EXPOSICIONES",3
ARTE-1407,"ARTISTA OBRA ESPACIO",3
ARTE-1408A,"ARTE Y CINE",3
ARTE-1410A,"PATRIMONIO CULTURAL",3
ARTE-2410,"INTRODUCCION A LA CRITICA",3
ARTE-2454,"CONSERVACIÓN PREVENTIVA DE ART",3
ARTE-3403,"TALLER DE PROYECTOS",3
ARTE-3429,"ARTE: VALOR DE CAMBIO",3
ARTI-4102,"COMUNICACION EFECTIVA",4
ARTI-4103,"ARQUITECTURA DE NEGOCIO Y TI",4
ARTI-4106,"ARQUITECTURA EMPRESARIAL",4
ARTI-4108,"POWER PEOPLE",4
ARTI-4203,"ARQUITECTURA DE INFRAESTRUCTUR",4
ARTI-4204,"ARQUITECTURA DE SEGURIDAD",4
ARTI-4205,"ARQUITECTURA PROCESOS NEGOCIO",4
ARTI-4208,"ARQUITECTURAS NUEVA GENERACIÓN",4
ARTI-4301,"PROYECTO FINAL",4
AUTO-5220,"PROCESOS INDUSTR.TRANSP.CRUDO",2
AUTO-5223,"FUNDAM.INSTRUMENTACION INDUSTR",2
AUTO-5226,"CONTROL MOVIM Y ROBOTICA INDUS",2
AUTO-5229,"FUNDAMENTOS HIDRAULICOS",2
BCOM-4002,"FUNDAM.PROG. CIENCIAS BIOLOGIC",4
BCOM-4007,"BIOINF.APLIC.ESTUDIOS BIODIVER",2
BCOM-4008,"MODEL.REDES METAB.Y APLIC.INDU",2
BCOM-4101,FILOGENOMICA,4
BCOM-4102,"ECOL.MICROB.Y HERRAM.ANA.BIOIN",4
BIOL-0000,INDUCCION,1
BIOL-1300,"BIOLOGIA DE ORGANISMOS-TEO",3
BIOL-1300C,"COMPL. BIOLOGIA DE ORGANISMOS",0
BIOL-1312,"BIOLOGIA PARA PSICOLOGIA-TEO",3
BIOL-1326A,"EVOLUCION: EL ORIGEN DE LAS E.",3
BIOL-1327,"ECOLOGIA: PRINCIPIOS Y APLICA.",3
BIOL-1327C,"COMPL ECOLOGIA: PRINC Y APLICA",0
BIOL-1328B,"IMP. REGIONAL CAMBIO AMB. GLO",3
BIOL-1329A,"AZUL PROFUNDO:CRONICAS DEL MAR",3
BIOL-1331B,"EXPLORACION OCEANICA (VIRTUAL)",3
BIOL-2200,GENETICA-TEO,3
BIOL-2302,INVERTEBRADOS-TEO,3
BIOL-2308,ECOLOGIA-TEO,3
BIOL-2310,"VERTEBRADOS TEO",3
BIOL-3202,"SISTEMATICA FILOGENETICA-TEO",3
