id;dia;hora_inicio;minuto_inicio;hora_fin;minuto_fin;duracion
0;L;9;30;10;50;80
1;I;9;30;10;50;80
2;V;9;30;10;50;80
9;J;6;30;7;50;80
10;L;6;30;7;50;80
14;L;6;30;7;50;80
15;I;6;30;7;50;80
22;L;8;0;9;20;80
23;I;8;0;9;20;80
30;L;11;0;12;20;80
31;J;11;0;12;20;80
38;L;6;30;7;50;80
39;I;6;30;7;50;80
46;L;14;0;15;20;80
47;I;14;0;15;20;80
54;L;9;30;10;50;80
55;I;9;30;10;50;80
62;L;11;0;12;20;80
63;I;11;0;12;20;80
70;M;6;30;7;50;80
71;J;6;30;7;50;80
78;V;11;0;12;20;80
79;M;11;0;12;20;80
83;L;9;30;12;20;190
90;M;8;0;10;50;170
97;I;8;0;10;50;170
104;L;14;0;16;50;170
111;M;11;0;13;50;170
118;J;14;0;16;50;170
125;L;6;30;9;20;190
132;M;6;30;9;20;190
139;L;14;0;16;50;170
146;V;14;0;16;50;170
153;M;8;0;10;50;170
160;J;9;30;12;20;190
167;L;9;30;12;20;190
174;L;14;0;15;20;80
175;I;14;0;15;20;80
182;L;9;30;10;50;80
183;I;9;30;10;50;80
190;I;12;30;13;50;80
191;L;12;30;13;50;80
195;M;11;0;12;20;80
196;J;11;0;12;20;80
203;M;12;30;13;50;80
204;J;12;30;13;50;80
211;L;6;30;7;50;80
212;I;6;30;7;50;80
219;L;8;0;9;20;80
220;I;8;0;9;20;80
227;M;11;0;12;20;80
228;J;11;0;12;20;80
235;M;12;30;13;50;80
236;J;12;30;13;50;80
243;V;8;0;10;50;170
250;I;11;0;13;50;170
257;L;15;30;16;50;80
258;J;15;30;16;50;80
265;L;11;0;12;20;80
266;J;11;0;12;20;80
273;I;8;0;9;20;80
274;V;8;0;9;20;80
281;L;11;0;12;20;80
282;I;11;0;12;20;80
289;V;15;30;16;50;80
290;I;15;30;16;50;80
294;M;14;0;15;20;80
295;J;14;0;15;20;80
302;I;11;0;12;20;80
303;V;11;0;12;20;80
310;I;12;30;13;50;80
311;V;12;30;13;50;80
318;L;11;0;12;20;80
319;I;11;0;12;20;80
326;L;9;30;10;50;80
327;J;9;30;10;50;80
334;L;11;0;12;20;80
335;J;11;0;12;20;80
342;M;8;0;9;20;80
343;J;8;0;9;20;80
350;M;6;30;7;50;80
351;J;6;30;7;50;80
358;L;8;0;9;20;80
359;J;8;0;9;20;80
366;M;14;0;15;20;80
367;J;14;0;15;20;80
374;M;8;0;9;20;80
375;V;8;0;9;20;80
382;M;9;30;10;50;80
383;J;9;30;10;50;80
390;L;6;30;7;50;80
391;J;6;30;7;50;80
398;L;8;0;9;20;80
399;I;8;0;9;20;80
406;I;9;30;10;50;80
407;L;9;30;10;50;80
411;L;15;30;16;50;80
412;I;15;30;16;50;80
419;L;14;0;15;20;80
420;I;14;0;15;20;80
427;J;8;0;9;20;80
428;L;8;0;9;20;80
432;L;14;0;15;20;80
433;I;14;0;15;20;80
440;L;11;0;12;20;80
441;J;11;0;12;20;80
448;M;14;0;15;20;80
449;J;14;0;15;20;80
456;J;14;0;15;20;80
457;M;14;0;15;20;80
461;V;6;30;7;50;80
462;M;6;30;7;50;80
466;L;8;0;9;20;80
467;J;8;0;9;20;80
474;J;8;0;9;20;80
475;M;8;0;9;20;80
479;V;12;30;13;50;80
480;I;12;30;13;50;80
484;L;6;30;7;50;80
485;J;6;30;7;50;80
492;M;6;30;7;50;80
493;V;6;30;7;50;80
500;M;8;0;9;20;80
501;V;8;0;9;20;80
508;L;9;30;10;50;80
509;J;9;30;10;50;80
516;L;11;0;12;20;80
517;J;11;0;12;20;80
524;L;14;0;15;20;80
525;I;14;0;15;20;80
532;M;12;30;13;50;80
533;J;12;30;13;50;80
540;J;14;0;15;20;80
541;M;14;0;15;20;80
545;J;9;30;10;50;80
546;M;9;30;10;50;80
550;M;15;30;16;50;80
557;V;14;0;16;50;170
564;V;14;0;16;50;170
571;V;14;0;16;50;170
578;V;14;0;16;50;170
585;V;14;0;16;50;170
592;V;14;0;16;50;170
599;L;14;0;15;20;80
600;I;14;0;15;20;80
607;I;15;30;18;20;190
614;M;14;0;16;50;170
621;L;6;30;9;20;190
628;L;15;30;18;20;190
635;L;9;30;12;20;190
642;M;17;0;19;50;170
649;L;17;0;18;20;80
656;V;6;30;9;20;190
663;M;6;30;9;20;190
670;I;6;30;9;20;190
677;I;17;0;19;50;170
684;M;11;0;12;20;80
685;V;11;0;12;20;80
692;M;11;0;12;20;80
693;V;11;0;12;20;80
700;I;14;0;16;50;170
707;L;12;30;15;20;190
714;I;11;0;12;20;80
715;L;11;0;12;20;80
719;J;9;30;10;50;80
720;M;9;30;10;50;80
724;M;9;30;10;50;80
725;V;9;30;10;50;80
732;L;14;0;15;20;80
733;J;14;0;15;20;80
740;L;14;0;15;20;80
741;I;14;0;15;20;80
748;L;11;0;12;20;80
749;J;11;0;12;20;80
756;L;15;30;16;50;80
757;I;15;30;16;50;80
764;M;11;0;12;20;80
765;J;11;0;12;20;80
772;L;11;0;12;20;80
773;J;11;0;12;20;80
780;L;8;0;9;20;80
781;J;8;0;9;20;80
788;L;11;0;12;20;80
789;I;11;0;12;20;80
796;L;11;0;12;20;80
797;J;11;0;12;20;80
804;M;8;0;9;20;80
805;J;8;0;9;20;80
812;M;14;0;15;20;80
813;J;14;0;15;20;80
820;V;11;0;12;20;80
821;I;11;0;12;20;80
825;J;15;30;16;50;80
826;M;15;30;16;50;80
830;L;8;0;9;20;80
831;I;8;0;9;20;80
838;M;6;30;7;50;80
839;V;6;30;7;50;80
846;M;8;0;9;20;80
847;V;8;0;9;20;80
854;J;6;30;7;50;80
855;L;6;30;7;50;80
859;M;12;30;13;50;80
860;J;12;30;13;50;80
867;L;17;0;19;50;170
874;M;14;0;16;50;170
881;M;9;30;10;50;80
882;J;9;30;10;50;80
889;L;9;30;10;50;80
890;J;9;30;10;50;80
897;L;9;30;10;50;80
898;I;9;30;10;50;80
905;M;9;30;10;50;80
906;V;9;30;10;50;80
913;V;6;30;7;50;80
914;I;6;30;7;50;80
918;L;11;0;12;20;80
919;J;11;0;12;20;80
926;V;9;30;10;50;80
933;I;11;0;12;20;80
934;L;11;0;12;20;80
938;M;14;0;16;50;170
945;M;14;0;16;50;170
952;J;12;30;13;50;80
953;M;12;30;13;50;80
957;I;15;30;16;50;80
958;L;15;30;16;50;80
962;I;12;30;13;50;80
963;L;12;30;13;50;80
967;L;11;0;12;20;80
968;I;11;0;12;20;80
975;L;9;30;10;50;80
976;J;9;30;10;50;80
983;I;9;30;10;50;80
984;V;9;30;10;50;80
991;I;14;0;15;20;80
992;L;14;0;15;20;80
996;M;8;0;9;20;80
997;J;8;0;9;20;80
1004;L;15;30;16;50;80
1005;J;15;30;16;50;80
1012;M;8;0;9;20;80
1013;J;8;0;9;20;80
1020;M;11;0;12;20;80
1021;J;11;0;12;20;80
1028;M;8;0;9;20;80
1029;J;8;0;9;20;80
1036;L;12;30;13;50;80
1037;I;12;30;13;50;80
1044;V;14;0;16;50;170
1051;L;8;0;9;20;80
1052;I;8;0;9;20;80
1059;L;14;0;16;50;170
1066;M;11;0;12;20;80
1067;J;11;0;12;20;80
1074;L;14;0;15;20;80
1075;I;14;0;15;20;80
1082;J;14;0;16;50;170
1089;L;9;30;10;50;80
1090;I;9;30;10;50;80
1097;I;11;0;12;20;80
1098;L;11;0;12;20;80
1102;M;14;0;16;50;170
1109;M;12;30;13;50;80
1110;V;12;30;13;50;80
1117;I;14;0;16;50;170
1124;J;17;0;18;20;80
1125;L;17;0;18;20;80
1129;V;17;0;19;50;170
1136;V;17;0;19;50;170
1143;L;8;0;9;20;80
1144;I;8;0;9;20;80
1151;I;12;30;15;20;190
1158;I;8;0;9;20;80
1159;L;8;0;9;20;80
1163;M;12;30;13;50;80
1164;J;12;30;13;50;80
1171;V;12;30;13;50;80
1172;I;12;30;13;50;80
1176;M;9;30;10;50;80
1177;V;9;30;10;50;80
1184;V;11;0;12;20;80
1185;M;11;0;12;20;80
1189;M;14;0;15;20;80
1190;V;14;0;15;20;80
1197;M;15;30;16;50;80
1198;V;15;30;16;50;80
1205;M;15;30;16;50;80
1206;V;15;30;16;50;80
1213;V;14;0;15;20;80
1214;I;14;0;15;20;80
1218;I;17;0;18;20;80
1219;V;17;0;18;20;80
1226;L;14;0;15;20;80
1227;J;14;0;15;20;80
1234;M;12;30;13;50;80
1235;V;12;30;13;50;80
1242;L;8;0;9;20;80
1243;V;8;0;9;20;80
1250;L;8;0;9;20;80
1251;V;8;0;9;20;80
1258;L;12;30;13;50;80
1259;J;12;30;13;50;80
1266;V;8;0;9;20;80
1267;L;8;0;9;20;80
1271;I;15;30;18;20;190
1278;M;9;30;10;50;80
1279;J;9;30;10;50;80
1286;L;14;0;15;20;80
1287;I;14;0;15;20;80
1294;I;8;0;9;20;80
1295;L;8;0;9;20;80
1299;I;17;0;19;50;170
1306;L;15;30;16;50;80
1307;I;15;30;16;50;80
1314;L;17;0;18;20;80
1315;I;17;0;18;20;80
1322;I;12;30;13;50;80
1323;V;12;30;13;50;80
1330;L;15;30;18;20;190
1337;M;8;0;9;20;80
1338;J;8;0;9;20;80
1345;L;14;0;15;20;80
1346;I;14;0;15;20;80
1353;V;14;0;15;20;80
1354;I;14;0;15;20;80
1358;I;9;30;12;20;190
1365;I;12;30;13;50;80
1366;L;12;30;13;50;80
1370;L;18;0;20;50;170
1371;S;18;0;20;50;170
1375;I;18;0;20;50;170
1382;L;18;0;20;50;170
1383;S;18;0;20;50;170
1387;J;18;0;20;50;170
1394;I;18;0;20;50;170
1401;M;18;0;20;50;170
1408;M;18;0;20;50;170
1415;L;18;0;20;50;170
1422;M;18;0;20;50;170
1429;J;9;0;11;50;170
1430;V;9;0;11;50;170
1431;S;9;0;11;50;170
1432;J;14;0;17;50;230
1433;V;14;0;17;50;230
1434;S;14;0;17;50;230
1435;J;9;0;11;50;170
1436;V;9;0;11;50;170
1437;S;9;0;11;50;170
1438;J;14;0;17;50;230
1439;V;14;0;17;50;230
1440;S;14;0;17;50;230
1441;V;17;0;18;50;110
1442;I;17;0;18;50;110
1446;S;9;0;11;50;170
1453;S;9;0;11;50;170
1460;M;11;0;12;20;80
1461;J;11;0;12;20;80
1468;J;16;0;19;50;230
1475;I;15;30;16;50;80
1482;I;6;30;7;50;80
1483;J;6;30;7;50;80
1490;L;9;30;10;50;80
1491;M;9;30;10;50;80
1498;M;12;30;13;50;80
1505;J;14;0;15;20;80
1512;M;14;0;15;20;80
1519;M;14;0;15;20;80
1520;I;14;0;15;20;80
