materia;nombre;creditos;id;dia;hora_inicio;minuto_inicio;hora_fin;minuto_fin;duracion;senhalizacion;edificio;capacidad;extension;area;tiene_movil_express;tipo_mobiliario;es_fijo;id;crn;semestre;numero_seccion;cupos;inscritos;disponibles;profesor1;profesor2;profesor3;id;curso;seccion;salon;franja
ADMI-1101;FUNDAM.ADMON Y GERENCIA (ADMI);3;28279;L;9;30;10;50;80;SD_805;SD;135.0;1119.0;233,1;Si;Silla mÃ³vil y mesa fija;Fijo;2018-01-10126;10126;2018-01;1;121;108;13;DIAZ MATAJIRA LUIS;;;28279;ADMI-1101;2018-01-10126;SD_805;28279
ADMI-1101;FUNDAM.ADMON Y GERENCIA (ADMI);3;28280;I;9;30;10;50;80;SD_805;SD;135.0;1119.0;233,1;Si;Silla mÃ³vil y mesa fija;Fijo;2018-01-10126;10126;2018-01;1;121;108;13;DIAZ MATAJIRA LUIS;;;28280;ADMI-1101;2018-01-10126;SD_805;28280
ADMI-1101;FUNDAM.ADMON Y GERENCIA (ADMI);3;28281;V;9;30;10;50;80;SD_805;SD;135.0;1119.0;233,1;Si;Silla mÃ³vil y mesa fija;Fijo;2018-01-10126;10126;2018-01;1;121;108;13;DIAZ MATAJIRA LUIS;;;28281;ADMI-1101;2018-01-10126;SD_805;28281
ADMI-1102;FUNDAM.ADMON Y GERENCIA;3;28288;J;6;30;7;50;80;SD_803;SD;82.0;1163.0;140;Si;Silla mÃ³vil y mesa fija;Fijo;2018-01-25454;25454;2018-01;2;63;50;13;CASTILLO GUTIERREZ JUAN PABLO;;;28288;ADMI-1102;2018-01-25454;SD_803;28288
ADMI-1102;FUNDAM.ADMON Y GERENCIA;3;28289;L;6;30;7;50;80;SD_803;SD;82.0;1163.0;140;Si;Silla mÃ³vil y mesa fija;Fijo;2018-01-25454;25454;2018-01;2;63;50;13;CASTILLO GUTIERREZ JUAN PABLO;;;28289;ADMI-1102;2018-01-25454;SD_803;28289
ADMI-1102;FUNDAM.ADMON Y GERENCIA;3;28289;L;6;30;7;50;80;O_404;O_;50.0;5270.0;57,8;No;Silla mÃ³vil y mesa fija;Fijo;2018-01-11411;11411;2018-01;4;50;31;19;DIAZ RAMIREZ JULIA HELENA;;;28293;ADMI-1102;2018-01-11411;O_404;28289
ADMI-1102;FUNDAM.ADMON Y GERENCIA;3;28294;I;6;30;7;50;80;O_404;O_;50.0;5270.0;57,8;No;Silla mÃ³vil y mesa fija;Fijo;2018-01-11411;11411;2018-01;4;50;31;19;DIAZ RAMIREZ JULIA HELENA;;;28294;ADMI-1102;2018-01-11411;O_404;28294
ADMI-1102;FUNDAM.ADMON Y GERENCIA;3;28301;L;8;0;9;20;80;LL_304;LL;50.0;5092.0;50,8;No;Pupitre universitario;Movil;2018-01-25458;25458;2018-01;6;50;47;3;DIAZ RAMIREZ JULIA HELENA;;;28301;ADMI-1102;2018-01-25458;LL_304;28301
ADMI-1102;FUNDAM.ADMON Y GERENCIA;3;28302;I;8;0;9;20;80;LL_304;LL;50.0;5092.0;50,8;No;Pupitre universitario;Movil;2018-01-25458;25458;2018-01;6;50;47;3;DIAZ RAMIREZ JULIA HELENA;;;28302;ADMI-1102;2018-01-25458;LL_304;28302
ADMI-1190;SERVIC. ECOSISTÃMICOS (INGLÃS);3;28309;L;11;0;12;20;80;C_307;C_;60.0;;89,7;si;Silla mÃ³vil, mesa mÃ³vil;Movil;2018-01-20646;20646;2018-01;2;55;47;8;VALDERRAMA ROJAS DIEGO;;;28309;ADMI-1190;2018-01-20646;C_307;28309
ADMI-1190;SERVIC. ECOSISTÃMICOS (INGLÃS);3;28310;J;11;0;12;20;80;C_307;C_;60.0;;89,7;si;Silla mÃ³vil, mesa mÃ³vil;Movil;2018-01-20646;20646;2018-01;2;55;47;8;VALDERRAMA ROJAS DIEGO;;;28310;ADMI-1190;2018-01-20646;C_307;28310
ADMI-1190;SERVIC. ECOSISTÃMICOS (INGLÃS);3;28289;L;6;30;7;50;80;C_308;C_;60.0;;89,8;si;Silla mÃ³vil, mesa mÃ³vil;Movil;2018-01-23025;23025;2018-01;6;55;45;10;VALDERRAMA ROJAS DIEGO;;;28317;ADMI-1190;2018-01-23025;C_308;28289
ADMI-1190;SERVIC. ECOSISTÃMICOS (INGLÃS);3;28294;I;6;30;7;50;80;C_308;C_;60.0;;89,8;si;Silla mÃ³vil, mesa mÃ³vil;Movil;2018-01-23025;23025;2018-01;6;55;45;10;VALDERRAMA ROJAS DIEGO;;;28318;ADMI-1190;2018-01-23025;C_308;28294
ADMI-1190;SERVIC. ECOSISTÃMICOS (INGLÃS);3;28325;L;14;0;15;20;80;O_204;O_;62.0;5259.0;70,6;No;Silla mÃ³vil y mesa fija;Fijo;2018-01-27847;27847;2018-01;7;55;54;1;GUARNIZO CARO CARLOS ENRIQUE;;;28325;ADMI-1190;2018-01-27847;O_204;28325
ADMI-1190;SERVIC. ECOSISTÃMICOS (INGLÃS);3;28326;I;14;0;15;20;80;O_204;O_;62.0;5259.0;70,6;No;Silla mÃ³vil y mesa fija;Fijo;2018-01-27847;27847;2018-01;7;55;54;1;GUARNIZO CARO CARLOS ENRIQUE;;;28326;ADMI-1190;2018-01-27847;O_204;28326
ADMI-1203;PLANEACION FINANCIERA;3;28279;L;9;30;10;50;80;AU_104;AU;48.0;5604.0;62,6;Si;Mesa trapezoidal con silla mÃ³viles;Movil;2018-01-10131;10131;2018-01;1;43;37;6;BAUTISTA MENA RAFAEL DE JESUS;;;28333;ADMI-1203;2018-01-10131;AU_104;28279
ADMI-1203;PLANEACION FINANCIERA;3;28280;I;9;30;10;50;80;AU_104;AU;48.0;5604.0;62,6;Si;Mesa trapezoidal con silla mÃ³viles;Movil;2018-01-10131;10131;2018-01;1;43;37;6;BAUTISTA MENA RAFAEL DE JESUS;;;28334;ADMI-1203;2018-01-10131;AU_104;28280
ADMI-1203;PLANEACION FINANCIERA;3;28309;L;11;0;12;20;80;AU_203;AU;48.0;5610.0;59,8;SI;Silla mÃ³vil, mesa mÃ³vil;Movil;2018-01-20816;20816;2018-01;2;43;30;13;GONZALEZ MAXIMILIANO;;;28341;ADMI-1203;2018-01-20816;AU_203;28309
ADMI-1203;PLANEACION FINANCIERA;3;28342;I;11;0;12;20;80;AU_203;AU;48.0;5610.0;59,8;SI;Silla mÃ³vil, mesa mÃ³vil;Movil;2018-01-20816;20816;2018-01;2;43;30;13;GONZALEZ MAXIMILIANO;;;28342;ADMI-1203;2018-01-20816;AU_203;28342
ADMI-1203;PLANEACION FINANCIERA;3;28349;M;6;30;7;50;80;AU_102;AU;48.0;5602.0;62,6;Si;Mesa trapezoidal con silla mÃ³viles;Movil;2018-01-12118;12118;2018-01;3;43;44;-1;TRUJILLO REYES OSCAR FRANCISCO;;;28349;ADMI-1203;2018-01-12118;AU_102;28349
