,1Salon,Area util_s1,Bloque_s1,Capacidad_s1,Ext_s1,Fijo/Movil_s1,Movil Express_s1,Tipo Mobiliario_s1
0,SD_805,"233,1",Sd,135.0,1119.0,Fijo,Si,Silla móvil y mesa fija
1,SD_803,"140,0",Sd,82.0,1163.0,Fijo,Si,Silla móvil y mesa fija
2,O_404,"57,8",O,50.0,5270.0,Fijo,No,Silla móvil y mesa fija
3,LL_304,"50,8",LL,50.0,5092.0,Movil,No,Pupitre universitario
4,C_307,"89,7",C,60.0,nan,Movil,si,"Silla móvil, mesa móvil"
5,C_308,"89,8",C,60.0,nan,Movil,si,"Silla móvil, mesa móvil"
6,O_204,"70,6",O,62.0,5259.0,Fijo,No,Silla móvil y mesa fija
7,AU_104,"62,6",Au,48.0,5604.0,Movil,Si,Mesa trapezoidal con silla móviles
8,AU_203,"59,8",Au,48.0,5610.0,Movil,SI,"Silla móvil, mesa móvil"
9,AU_102,"62,6",Au,48.0,5602.0,Movil,Si,Mesa trapezoidal con silla móviles
10,C_209,"88,1",C,57.0,nan,Fijo,si,Silla móvil y mesa fija
11,,,,,,,,
12,,,,,,,,
13,,,,,,,,
14,,,,,,,,
15,,,,,,,,
16,,,,,,,,
17,,,,,,,,
18,SD_203,"58,8",Sd,26.0,nan,Movil,Si,"Silla móvil, mesa móvil"
19,AU_205,"59,8",Au,40.0,5612.0,Movil,SI,"Silla móvil, mesa móvil"
20,AU_107,"46,3",Au,36.0,5605.0,Movil,Si,"Silla móvil, mesa móvil"
21,AU_107,"46,3",Au,36.0,5605.0,Movil,Si,"Silla móvil, mesa móvil"
22,AU_107,"46,3",Au,36.0,5605.0,Movil,Si,"Silla móvil, mesa móvil"
23,LL_205,"51,2",LL,32.0,5087.0,Fijo,Si,Silla móvil y mesa fija
24,SD_201,"58,8",Sd,26.0,nan,Movil,Si,"Silla móvil, mesa móvil"
25,AU_208,"30,9",Au,27.0,5615.0,Movil,No,Pupitre universitario
26,AU_307,"29,4",Au,31.0,5625.0,Movil,No,Pupitre universitario
27,AU_310,"31,0",Au,27.0,5628.0,Movil,No,Pupitre universitario
28,AU_107,"46,3",Au,36.0,5605.0,Movil,Si,"Silla móvil, mesa móvil"
29,SD_205,"58,8",Sd,26.0,nan,Movil,Si,"Silla móvil, mesa móvil"
30,AU_310,"31,0",Au,27.0,5628.0,Movil,No,Pupitre universitario
31,O_401,"57,8",O,50.0,5267.0,Fijo,No,Silla móvil y mesa fija
32,Q_306,"86,3",Q,48.0,1454.0,Fijo,SI,Silla móvil y mesa fija
33,B_201,"122,8",B,51.0,1439.0,Fijo,No,Silla móvil y mesa fija
34,AU_104,"62,6",Au,48.0,5604.0,Movil,Si,Mesa trapezoidal con silla móviles
35,AU_104,"62,6",Au,48.0,5604.0,Movil,Si,Mesa trapezoidal con silla móviles
36,B_401,"159,2",B,81.0,nan,Fijo,No (es salas de computo también),Silla móvil y mesa fija
37,SD_803,"140,0",Sd,82.0,1163.0,Fijo,Si,Silla móvil y mesa fija
38,SD_802,"140,0",Sd,82.0,1115.0,Fijo,Si,Silla móvil y mesa fija
39,SD_801,"140,0",Sd,82.0,1110.0,Fijo,Si,Silla móvil y mesa fija
40,LL_303,"51,5",LL,50.0,5091.0,Movil,No,Pupitre universitario
41,C_308,"89,8",C,60.0,nan,Movil,si,"Silla móvil, mesa móvil"
42,O_301,"64,2",O,56.0,5261.0,Fijo,No,Silla móvil y mesa fija
