;Semestre;CRN;Materia;Seccion;Creditos;Titulo;Cupo;Inscritos;Disponible;1Dias;1Horas;1Salon;Area util_s1;Bloque_s1;Capacidad_s1;Ext_s1;Fijo/Movil_s1;Movil Express_s1;Tipo Mobiliario_s1;1F. Inicial;1F. Final;2Dias;2Horas;2Salon;Area util_s2;Bloque_s2;Capacidad_s2;Ext_s2;Fijo/Movil_s2;Movil Express_s2;Tipo Mobiliario_s2;2F. Inicial;2F. Final;3Dias;3Horas;3Salon;Area util_s3;Bloque_s3;Capacidad_s3;Ext_s3;Fijo/Movil_s3;Movil Express_s3;Tipo Mobiliario_s3;3F. Inicial;3F. Final;1Instructor;2Instructor;3Instructor
0;2018-01;10126;ADMI-1101;1;3;FUNDAM.ADMON Y GERENCIA (ADMI);121;108;13;LIV;0930 - 1050;SD_805;233,1;Sd;135.0;1119.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;DIAZ MATAJIRA LUIS;;
1;2018-01;25454;ADMI-1102;2;3;FUNDAM.ADMON Y GERENCIA;63;50;13;J;0630 - 0750;SD_803;140;Sd;82.0;1163.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;L;0630 - 0750;SD_703;140,9;Sd;65.0;1116.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;CASTILLO GUTIERREZ JUAN PABLO;;
2;2018-01;11411;ADMI-1102;4;3;FUNDAM.ADMON Y GERENCIA;50;31;19;LI;0630 - 0750;O_404;57,8;O;50.0;5270.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;DIAZ RAMIREZ JULIA HELENA;;
3;2018-01;25458;ADMI-1102;6;3;FUNDAM.ADMON Y GERENCIA;50;47;3;LI;0800 - 0920;LL_304;50,8;LL;50.0;5092.0;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;DIAZ RAMIREZ JULIA HELENA;;
4;2018-01;20646;ADMI-1190;2;3;SERVIC. ECOSISTÉMICOS (INGLÉS);55;47;8;LJ;1100 - 1220;C_307;89,7;C;60.0;nan;Movil;si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;VALDERRAMA ROJAS DIEGO;;
5;2018-01;23025;ADMI-1190;6;3;SERVICIOS ECOSISTÉMICOS;55;45;10;LI;0630 - 0750;C_308;89,8;C;60.0;nan;Movil;si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;VALDERRAMA ROJAS DIEGO;;
6;2018-01;27847;ADMI-1190;7;3;SERVICIOS ECOSISTÉMICOS;55;54;1;LI;1400 - 1520;O_204;70,6;O;62.0;5259.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GUARNIZO CARO CARLOS ENRIQUE;;
7;2018-01;10131;ADMI-1203;1;3;PLANEACION FINANCIERA;43;37;6;LI;0930 - 1050;AU_104;62,6;Au;48.0;5604.0;Movil;Si;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BAUTISTA MENA RAFAEL DE JESUS;;
8;2018-01;20816;ADMI-1203;2;3;PLANEACION FINANCIERA (INGLÉS);43;30;13;LI;1100 - 1220;AU_203;59,8;Au;48.0;5610.0;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GONZALEZ MAXIMILIANO;;
9;2018-01;12118;ADMI-1203;3;3;PLANEACION FINANCIERA;43;44;-1;MJ;0630 - 0750;AU_102;62,6;Au;48.0;5602.0;Movil;Si;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;TRUJILLO REYES OSCAR FRANCISCO;;
10;2018-01;11123;ADMI-1203;4;3;PLANEACION FINANCIERA;43;41;2;V;1100 - 1220;C_209;88,1;C;57.0;nan;Fijo;si;Silla móvil y mesa fija;22/01/18;12/5/2018;M;1100 - 1220;ML_516;121,9;ML;44.0;1618.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;LOPEZ FAJARDO MARIANO ALBERTO;;
18;2018-01;17185;ADMI-1590;1;1;TALLER DE CREATIVIDAD;26;24;2;L;0930 - 1220;SD_203;58,8;Sd;26.0;nan;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;LEON DIAZ INGRID MARCELA;;
19;2018-01;20917;ADMI-1590;2;1;TALLER DE CREATIVIDAD;30;29;1;M;0800 - 1050;AU_205;59,8;Au;40.0;5612.0;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;COLMENARES MISAS CARLOS FELIPE;;
20;2018-01;23194;ADMI-1590;3;1;TALLER DE CREATIVIDAD (INGLES);30;20;10;I;0800 - 1050;AU_107;46,3;Au;36.0;5605.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;KONOVALOV OLEG;;
21;2018-01;23195;ADMI-1590;4;1;TALLER DE CREATIVIDAD;30;24;6;L;1400 - 1650;AU_107;46,3;Au;36.0;5605.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;FLECHAS BUSTOS ANGELICA MARIA;;
22;2018-01;28783;ADMI-1590;5;1;TALLER DE CREATIVIDAD;32;31;1;M;1100 - 1350;AU_107;46,3;Au;36.0;5605.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;LEON DIAZ INGRID MARCELA;;
23;2018-01;31229;ADMI-1590;6;1;TALLER DE CREATIVIDAD;31;31;0;J;1400 - 1650;LL_205;51,2;LL;32.0;5087.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;NEIRA ROA ANGIE CAROLINA;;
24;2018-01;11013;ADMI-1602;1;2;TALLER AUTOCONOCIMIENTO;25;24;1;L;0630 - 0920;SD_201;58,8;Sd;26.0;nan;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;URIBE ARBELAEZ SOFIA;;
25;2018-01;13920;ADMI-1602;2;2;TALLER AUTOCONOCIMIENTO;25;22;3;M;0630 - 0920;AU_208;30,9;Au;27.0;5615.0;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ACOSTA PEREIRA ANA MILENA;;
26;2018-01;11014;ADMI-1602;3;2;TALLER AUTOCONOCIMIENTO;25;25;0;L;1400 - 1650;AU_307;29,4;Au;31.0;5625.0;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;MUNOZ CIFUENTES JESUS ANTONIO;;
27;2018-01;11015;ADMI-1602;4;2;TALLER AUTOCONOCIMIENTO;25;23;2;V;1400 - 1650;AU_310;31;Au;27.0;5628.0;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BERNAL VARGAS LUZ STELLA;;
28;2018-01;28720;ADMI-1602;5;2;TALLER AUTOCONOCIMIENTO;25;23;2;M;0800 - 1050;AU_107;46,3;Au;36.0;5605.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;LEON DIAZ INGRID MARCELA;;
29;2018-01;17132;ADMI-1602;6;2;TALLER AUTOCONOCIMIENTO;25;25;0;J;0930 - 1220;SD_205;58,8;Sd;26.0;nan;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;TRIANA QUIJANO ADRIANA FERNANDA;;
30;2018-01;18587;ADMI-1602;7;2;TALLER AUTOCONOCIMIENTO;25;23;2;L;0930 - 1220;AU_310;31;Au;27.0;5628.0;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;URIBE ARBELAEZ SOFIA;;
31;2018-01;10133;ADMI-1603;1;3;COMPORT. ORGANIZACION.(INGLES);40;32;8;LI;1400 - 1520;O_401;57,8;O;50.0;5267.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;MANDALAKI EMMANOUELA;;
32;2018-01;10134;ADMI-1603;3;3;COMPORT. ORGANIZACIO. (INGLES);40;37;3;LI;0930 - 1050;Q_306;86,3;Q;48.0;1454.0;Fijo;SI;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;MANDALAKI EMMANOUELA;;
33;2018-01;23026;ADMI-1603;5;3;COMPORT. ORGANIZACIONAL;40;39;1;I;1230 - 1350;B_201;122,8;B;51.0;1439.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;L;1230 - 1350;AU_104;62,6;Au;48.0;5604.0;Movil;Si;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;;;;;;;;;;;;;MANDALAKI EMMANOUELA;;
34;2018-01;23082;ADMI-1603;7;3;COMPORT. ORGANIZACION.(INGLES);40;40;0;MJ;1100 - 1220;AU_104;62,6;Au;48.0;5604.0;Movil;Si;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;MEISTER ALYSON LEE;;
35;2018-01;31091;ADMI-1603;9;3;COMPORT. ORGANIZACION (INGLÉS);40;40;0;MJ;1230 - 1350;AU_104;62,6;Au;48.0;5604.0;Movil;Si;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;MEISTER ALYSON LEE;;
36;2018-01;11547;ADMI-2104B;1;3;HISTORIA DESARROLLO EMPRES.COL;74;33;41;LI;0630 - 0750;B_401;159,2;B;81.0;nan;Fijo;No (es salas de computo también);Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GARAVITO SUAREZ MARTHA ELIZABETH;;
37;2018-01;21174;ADMI-2104B;2;3;HISTORIA DESARROLLO EMPRES.COL;74;63;11;LI;0800 - 0920;SD_803;140;Sd;82.0;1163.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GARAVITO SUAREZ MARTHA ELIZABETH;;
38;2018-01;13121;ADMI-2104B;3;3;HISTORIA DESARROLLO EMPRES.COL;74;55;19;MJ;1100 - 1220;SD_802;140;Sd;82.0;1115.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;DAVILA LADRON DE GUE CARLOS;;
39;2018-01;25486;ADMI-2104B;4;3;HISTORIA DESARROLLO EMPRES.COL;74;54;20;MJ;1230 - 1350;SD_801;140;Sd;82.0;1110.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;DAVILA LADRON DE GUE CARLOS;;
40;2018-01;10637;ADMI-2106;1;3;RESPONSABILIDAD SOCIAL INGLES;50;47;3;V;0800 - 1050;LL_303;51,5;LL;50.0;5091.0;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RUEDA FAJARDO XIMENA;;
41;2018-01;11216;ADMI-2106;2;3;RESPONSABILIDAD SOCIAL;55;53;2;I;1100 - 1350;C_308;89,8;C;60.0;nan;Movil;si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;FRANCO BORRERO NATHALIA;;
42;2018-01;10135;ADMI-2106;3;3;RESPONSABILIDAD SOCIAL;50;44;6;LJ;1530 - 1650;O_301;64,2;O;56.0;5261.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GARCIA LOPEZ JORGE HERNAN;;
43;2018-01;10427;ADMI-2107;1;3;GERENCIA DE RECURSOS HUMANOS;45;19;26;LJ;1100 - 1220;B_201;122,8;B;51.0;1439.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GATTAS BULTAIF LINA PATRICIA;BAQUERO FANDIÑO DIANA VICTORIA;
44;2018-01;10502;ADMI-2107;2;3;GERENCIA DE RECURSOS HUMANOS;45;38;7;IV;0800 - 0920;O_401;57,8;O;50.0;5267.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;AMAYA GONZALEZ RENATA;BAQUERO FANDIÑO DIANA VICTORIA;
45;2018-01;25488;ADMI-2204;1;3;DECISIONES DE INVERSION;51;51;0;LI;1100 - 1220;C_105;86,7;C;60.0;nan;Fijo;si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BAUTISTA MENA RAFAEL DE JESUS;;
46;2018-01;11425;ADMI-2204;4;3;DECISIONES DE INVERSION;50;15;35;V;1530 - 1650;SD_716;140,4;Sd;65.0;1105.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;I;1530 - 1650;SD_715;140,4;Sd;65.0;1109.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;MORA VALENCIA ANDRES;;
47;2018-01;18596;ADMI-2204;5;3;DECISIONES DE INVERSION;51;40;11;MJ;1400 - 1520;C_307;89,7;C;60.0;nan;Movil;si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;MANTILLA GARCIA DANIEL;;
48;2018-01;31092;ADMI-2204;6;3;DECISIONES DE INVERSION;50;38;12;IV;1100 - 1220;C_307;89,7;C;60.0;nan;Movil;si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CARDONA MAGNE EMILIO;;
49;2018-01;11426;ADMI-2205;3;3;FINANZAS 3:ESTRATEGIA;35;21;14;IV;1230 - 1350;AU_205;59,8;Au;40.0;5612.0;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CARDONA MAGNE EMILIO;;
50;2018-01;31093;ADMI-2205;4;3;FINANZAS 3: ESTRATEGIA;39;36;3;LI;1100 - 1220;AU_401;46;Au;40.0;5631.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;MALAGON PENEN JULIANA;;
51;2018-01;14896;ADMI-2206;6;3;COMPORTAMIENTO DEL CONSUMIDOR;40;34;6;LJ;0930 - 1050;B_201;122,8;B;51.0;1439.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;TRUJILLO CARLOS ANDRES;;
52;2018-01;13554;ADMI-2207;1;3;COLOMBIA Y SUS INSTIT.(ADMON);48;46;2;LJ;1100 - 1220;O_302;64,2;O;56.0;5262.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;WILLS HERRERA EDUARDO;;
53;2018-01;12119;ADMI-2207;3;3;COLOMBIA Y SUS INSTITUCIONES;46;41;5;MJ;0800 - 0920;O_402;57,8;O;50.0;5268.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CASTILLO VALLEJO ALEJANDRO;;
54;2018-01;14899;ADMI-2207;5;3;COLOMBIA Y SUS INSTITUCIONES;45;25;20;MJ;0630 - 0750;B_201;122,8;B;51.0;1439.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CASTILLO VALLEJO ALEJANDRO;;
55;2018-01;23649;ADMI-2207;6;3;COLOMBIA Y SUS INSTITUCIONES;48;47;1;LJ;0800 - 0920;B_201;122,8;B;51.0;1439.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CASTANO MESA LINA MARIA;;
56;2018-01;31094;ADMI-2301;1;3;FUNDAMENTOS MERCADEO (INGLÉS);49;45;4;MJ;1400 - 1520;O_403;57,8;O;50.0;5269.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;WILSON BRADLEY JAMES;;
57;2018-01;13604;ADMI-2301;2;3;FUNDAMENTOS MERCADEO;53;51;2;MV;0800 - 0920;C_209;88,1;C;57.0;nan;Fijo;si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ESTRADA MEJIA CATALINA;;
58;2018-01;25473;ADMI-2301;4;3;FUNDAMENTOS MERCADEO (INGLES);49;48;1;MJ;0930 - 1050;O_404;57,8;O;50.0;5270.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;WILSON BRADLEY JAMES;;
59;2018-01;10139;ADMI-2301;5;3;FUNDAMENTOS DE MERCADEO;52;46;6;LJ;0630 - 0750;SD_806;140,4;Sd;82.0;1164.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;PEREZ CIFUENTES GABRIEL;;
60;2018-01;13266;ADMI-2301;6;3;FUNDAMENTOS DE MERCADEO;49;44;5;LI;0800 - 0920;O_403;57,8;O;50.0;5269.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ARIAS PUENTES CLAUDIA PATRICIA;;
