senhalizacion,edificio,capacidad,extension,area,tiene_movil_express,tipo_mobiliario,es_fijo
SD_805,SD,135.0,1119.0,"233,1",Si,"Silla móvil y mesa fija",Fijo
SD_803,SD,82.0,1163.0,140,Si,"Silla móvil y mesa fija",Fijo
O_404,O_,50.0,5270.0,"57,8",No,"Silla móvil y mesa fija",Fijo
LL_304,LL,50.0,5092.0,"50,8",No,"Pupitre universitario",Movil
C_307,C_,60.0,,"89,7",si,"Silla móvil, mesa móvil",Movil
C_308,C_,60.0,,"89,8",si,"Silla móvil, mesa móvil",Movil
O_204,O_,62.0,5259.0,"70,6",No,"Silla móvil y mesa fija",Fijo
AU_104,AU,48.0,5604.0,"62,6",Si,"Mesa trapezoidal con silla móviles",Movil
AU_203,AU,48.0,5610.0,"59,8",SI,"Silla móvil, mesa móvil",Movil
AU_102,AU,48.0,5602.0,"62,6",Si,"Mesa trapezoidal con silla móviles",Movil
C_209,C_,57.0,,"88,1",si,"Silla móvil y mesa fija",Fijo
SD_203,SD,26.0,,"58,8",Si,"Silla móvil, mesa móvil",Movil
AU_205,AU,40.0,5612.0,"59,8",SI,"Silla móvil, mesa móvil",Movil
AU_107,AU,36.0,5605.0,"46,3",Si,"Silla móvil, mesa móvil",Movil
LL_205,LL,32.0,5087.0,"51,2",Si,"Silla móvil y mesa fija",Fijo
SD_201,SD,26.0,,"58,8",Si,"Silla móvil, mesa móvil",Movil
AU_208,AU,27.0,5615.0,"30,9",No,"Pupitre universitario",Movil
AU_307,AU,31.0,5625.0,"29,4",No,"Pupitre universitario",Movil
AU_310,AU,27.0,5628.0,31,No,"Pupitre universitario",Movil
SD_205,SD,26.0,,"58,8",Si,"Silla móvil, mesa móvil",Movil
O_401,O_,50.0,5267.0,"57,8",No,"Silla móvil y mesa fija",Fijo
Q_306,Q_,48.0,1454.0,"86,3",SI,"Silla móvil y mesa fija",Fijo
B_201,B_,51.0,1439.0,"122,8",No,"Silla móvil y mesa fija",Fijo
B_401,B_,81.0,,"159,2","No (es salas de computo también)","Silla móvil y mesa fija",Fijo
SD_802,SD,82.0,1115.0,140,Si,"Silla móvil y mesa fija",Fijo
SD_801,SD,82.0,1110.0,140,Si,"Silla móvil y mesa fija",Fijo
LL_303,LL,50.0,5091.0,"51,5",No,"Pupitre universitario",Movil
O_301,O_,56.0,5261.0,"64,2",No,"Silla móvil y mesa fija",Fijo
C_105,C_,60.0,,"86,7",si,"Silla móvil y mesa fija",Fijo
SD_716,SD,65.0,1105.0,"140,4",Si,"Silla móvil y mesa fija",Fijo
AU_401,AU,40.0,5631.0,46,Si,"Silla móvil, mesa móvil",Movil
O_302,O_,56.0,5262.0,"64,2",No,"Silla móvil y mesa fija",Fijo
O_402,O_,50.0,5268.0,"57,8",No,"Silla móvil y mesa fija",Fijo
O_403,O_,50.0,5269.0,"57,8",No,"Silla móvil y mesa fija",Fijo
SD_806,SD,82.0,1164.0,"140,4",Si,"Silla móvil y mesa fija",Fijo
SD_704,SD,60.0,1106.0,"144,8",Si,"Silla móvil, mesa móvil",Movil
Y_101,Y_,60.0,,96,No,"Silla móvil, mesa móvil",Movil
